Date, Accum_CVEs
1/1/1999,1
2/1/1999,1
3/1/1999,1
4/1/1999,1
5/1/1999,1
6/1/1999,1
7/1/1999,1
8/1/1999,1
9/1/1999,1
10/1/1999,1
11/1/1999,1
12/1/1999,1
1/1/2000,1
2/1/2000,1
3/1/2000,1
4/1/2000,1
5/1/2000,2
6/1/2000,2
7/1/2000,2
8/1/2000,2
9/1/2000,2
10/1/2000,2
11/1/2000,2
12/1/2000,3
1/1/2001,3
2/1/2001,4
3/1/2001,4
4/1/2001,4
5/1/2001,4
6/1/2001,5
7/1/2001,6
8/1/2001,6
9/1/2001,9
10/1/2001,9
11/1/2001,10
12/1/2001,11
1/1/2002,11
2/1/2002,11
3/1/2002,11
4/1/2002,21
5/1/2002,22
6/1/2002,22
7/1/2002,22
8/1/2002,23
9/1/2002,23
10/1/2002,23
11/1/2002,24
12/1/2002,27
1/1/2003,27
2/1/2003,27
3/1/2003,28
4/1/2003,28
5/1/2003,28
6/1/2003,29
7/1/2003,29
8/1/2003,29
9/1/2003,29
10/1/2003,29
11/1/2003,29
12/1/2003,29
1/1/2004,29
2/1/2004,29
3/1/2004,29
4/1/2004,29
5/1/2004,29
6/1/2004,29
7/1/2004,29
8/1/2004,29
9/1/2004,29
10/1/2004,30
11/1/2004,31
12/1/2004,31
1/1/2005,31
2/1/2005,31
3/1/2005,31
4/1/2005,31
5/1/2005,32
6/1/2005,32
7/1/2005,33
8/1/2005,34
9/1/2005,34
10/1/2005,34
11/1/2005,34
12/1/2005,35
1/1/2006,35
2/1/2006,35
3/1/2006,36
4/1/2006,36
5/1/2006,36
6/1/2006,36
7/1/2006,36
8/1/2006,36
9/1/2006,36
10/1/2006,36
11/1/2006,36
12/1/2006,37
1/1/2007,37
2/1/2007,37
3/1/2007,38
4/1/2007,38
5/1/2007,39
6/1/2007,39
7/1/2007,39
8/1/2007,39
9/1/2007,39
10/1/2007,39
11/1/2007,39
12/1/2007,39
1/1/2008,39
2/1/2008,39
3/1/2008,39
4/1/2008,39
5/1/2008,39
6/1/2008,39
7/1/2008,39
8/1/2008,39
9/1/2008,39
10/1/2008,39
11/1/2008,39
12/1/2008,39
1/1/2009,41
2/1/2009,41
3/1/2009,41
4/1/2009,41
5/1/2009,41
6/1/2009,41
7/1/2009,41
8/1/2009,41
9/1/2009,41
10/1/2009,41
11/1/2009,41
12/1/2009,41
1/1/2010,41
2/1/2010,41
3/1/2010,41
4/1/2010,41
5/1/2010,41
6/1/2010,42
7/1/2010,42
8/1/2010,42
9/1/2010,42
10/1/2010,42
11/1/2010,42
12/1/2010,42
1/1/2011,42
2/1/2011,42
3/1/2011,42
4/1/2011,42
5/1/2011,42
6/1/2011,42
7/1/2011,42
8/1/2011,42
9/1/2011,42
10/1/2011,42
11/1/2011,42
12/1/2011,42
1/1/2012,42
2/1/2012,42
3/1/2012,42
4/1/2012,42
5/1/2012,42
6/1/2012,42
7/1/2012,42
8/1/2012,42
9/1/2012,42
10/1/2012,42
11/1/2012,42
12/1/2012,42
1/1/2013,42
2/1/2013,42
3/1/2013,42
4/1/2013,42
5/1/2013,42
6/1/2013,42
7/1/2013,42
8/1/2013,42
9/1/2013,42
10/1/2013,42
11/1/2013,42
12/1/2013,42
1/1/2014,42
2/1/2014,42
3/1/2014,42
4/1/2014,42
5/1/2014,42
6/1/2014,42
7/1/2014,42
8/1/2014,42
9/1/2014,42
10/1/2014,42
11/1/2014,42
12/1/2014,42
1/1/2015,42
2/1/2015,42
3/1/2015,42
4/1/2015,42
5/1/2015,42
6/1/2015,42
7/1/2015,42
8/1/2015,42
9/1/2015,42
10/1/2015,42
11/1/2015,42
12/1/2015,42
1/1/2016,42
2/1/2016,42
3/1/2016,42
4/1/2016,42
5/1/2016,42
6/1/2016,42
7/1/2016,42
8/1/2016,42
9/1/2016,42
10/1/2016,42
11/1/2016,42
12/1/2016,42
1/1/2017,42
2/1/2017,42
3/1/2017,43
4/1/2017,43
5/1/2017,43
6/1/2017,43
7/1/2017,43
8/1/2017,43
9/1/2017,43
10/1/2017,43
11/1/2017,43
12/1/2017,43
1/1/2018,43
2/1/2018,43
3/1/2018,43
4/1/2018,43
5/1/2018,43
6/1/2018,43
7/1/2018,43
8/1/2018,43
9/1/2018,43
10/1/2018,43
11/1/2018,43
12/1/2018,43
1/1/2019,43
2/1/2019,43
3/1/2019,43
4/1/2019,43
5/1/2019,43
6/1/2019,44
7/1/2019,44
8/1/2019,44
9/1/2019,44
10/1/2019,45
11/1/2019,45
12/1/2019,45
1/1/2020,45
2/1/2020,45
3/1/2020,46
4/1/2020,46
5/1/2020,46
6/1/2020,46
7/1/2020,46
8/1/2020,46
9/1/2020,46
10/1/2020,46
11/1/2020,46
12/1/2020,46
